School,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
CA School 19,Glendale Unified,La Crescenta,91214,Los Angeles County,Yes,No,Yes,No,1111,43.2,25.6,0.56,0,0,0.11,0.06,0,0.01,0.83
CA School 20,Fremont Unified,Fremont,94538,Alameda County,No,No,Yes,No,2294,102.8,22.3,0.17,0.01,0,0.76,0.09,0,0.02,0.11
CA School 21,Placentia-Yorba Linda Unified,Placentia,92870,Orange County,No,No,No,No,183,7,26.1,0.16,0,0.01,0.18,0.23,0,0.04,0.55
CA School 22,East Side Union High,San Jose,95132,Santa Clara County,No,No,Yes,No,2058,85.8,23.9,0.26,0.02,0,0.65,0.23,0.01,0.05,0.05
CA School 23,Ventura Unified,Ventura,93023,Ventura County,No,No,No,No,246,9,27.3,0.31,0.02,0,0.02,0.27,0,0.03,0.65
CA School 24,Santa Monica-Malibu Unified,Santa Monica,90405,Los Angeles County,No,No,No,No,2857,136.9,20.8,0.27,0.08,0,0.07,0.35,0,0.1,0.4
CA School 25,Simi Valley Unified,Simi Valley,93063,Ventura County,No,No,Yes,No,1046,46,22.7,0.24,0.01,0,0.2,0.28,0,0.05,0.46
CA School 26,Santa Ana Unified,Santa Ana,92706,Orange County,Yes,No,No,No,349,14.3,24.3,0.77,0,0,0.04,0.95,0,0,0.01
CA School 27,Credo High District,Rohnert Park,94928,Sonoma County,(n/a),Yes,No,No,400,21.1,18.9,0.31,0.01,0,0.03,0.1,0,0.12,0.75
CA School 28,Natomas Unified,Sacramento,95834,Sacramento County,No,Yes,Yes,No,619,32.9,18.7,0.48,0.06,0,0.44,0.27,0.02,0.05,0.16
CA School 29,San Dieguito Union High,Encinitas,92024,San Diego County,No,No,No,No,1850,74.6,24.7,0.15,0,0,0.05,0.21,0,0.04,0.7
CA School 30,Rowland Unified,Rowland Heights,91748,Los Angeles County,No,No,No,No,2017,79,25.5,0.63,0.01,0,0.51,0.42,0,0.02,0.03
CA School 31,El Dorado Union High,El Dorado,95623,El Dorado County,No,Yes,No,Yes,110,4.5,24.4,0.14,0,0.01,0.01,0.13,0,0.09,0.76
CA School 32,Kings Canyon Joint Unified,Reedley,93654,Fresno County,Yes,Yes,No,No,205,6.7,30.5,0.74,0,0.01,0.01,0.82,0,0.02,0.16
CA School 33,San Mateo Union High,Burlingame,94010,San Mateo County,Yes,No,No,No,1492,73,20.4,0.12,0.01,0,0.24,0.17,0.01,0.54,0.03
CA School 34,Guajome Park Academy Charter District,Vista,92083,San Diego County,Yes,Yes,No,No,1416,70.5,20,0.58,0.01,0.01,0.03,0.65,0,0.08,0.23
CA School 35,Aspire Benjamin Holt College Preparatory Academy District,Stockton,95212,San Joaquin County,Yes,Yes,No,No,462,11.9,38.6,0.46,0.05,0.01,0.29,0.41,0.01,0.05,0.18
CA School 36,Bonita Unified,La Verne,91750,Los Angeles County,No,No,No,No,1923,74.6,25.7,0.32,0.02,0,0.07,0.5,0,0.1,0.3
CA School 37,San Gabriel Unified,San Gabriel,91776,Los Angeles County,No,No,No,No,1696,71.5,23.7,0.56,0.01,0,0.59,0.33,0,0.03,0.04
CA School 38,Fremont Unified,Fremont,94536,Alameda County,Yes,No,No,No,1918,84.6,22.6,0.3,0.03,0,0.48,0.23,0.01,0.04,0.2
CA School 39,Santa Clara Unified,Santa Clara,95054,Santa Clara County,No,No,No,No,101,,,0.44,0.08,0,0.26,0.33,0,0.13,0.21
